"age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
,"",77053,"HS-grad",9,"Widowed","?","Not-in-family","White","Female",0,4356,40,"United-States","<=50K"
82,"Private",132870,"HS-grad",9,"Widowed","Exec-managerial","Not-in-family","White","Female",0,4356,18,"United-States","<=50K"
66,"?",186061,"Some-college",10,"Widowed","?","Unmarried","Black","Female",0,4356,40,"United-States","<=50K"
54,"Private",140359,"7th-8th",4,"Divorced","Machine-op-inspct","Unmarried","White","Female",0,3900,40,"United-States","<=50K"
,"Private",264663,"Some-college",10,"Separated","Prof-specialty","Own-child","White","Female",0,3900,40,"United-States","<=50K"
34,"Private",216864,"HS-grad",9,"Divorced","Other-service","Unmarried","White","Female",0,3770,45,"United-States","<=50K"
38,"Private",150601,"10th",6,"Separated","Adm-clerical","Unmarried","White","Male",0,3770,40,"United-States","<=50K"
74,"State-gov",88638,"Doctorate",16,"Never-married","Prof-specialty","Other-relative","White","Female",0,3683,20,"United-States",">50K"
,"Federal-gov",422013,"HS-grad",9,"Divorced","Prof-specialty","Not-in-family","White","Female",0,3683,40,"United-States","<=50K"
41,"Private",70037,"Some-college",10,"Never-married","Craft-repair","Unmarried","White","Male",0,3004,60,"?",">50K"
45,"Private",172274,"Doctorate",16,"Divorced","Prof-specialty","Unmarried","Black","Female",0,3004,35,"United-States",">50K"
38,"Self-emp-not-inc",164526,"Prof-school",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2824,45,"United-States",">50K"
52,"Private",129177,"Bachelors",13,"Widowed","Other-service","Not-in-family","White","Female",0,2824,20,"United-States",">50K"
32,"Private",136204,"Masters",14,"Separated","Exec-managerial","Not-in-family","White","Male",0,2824,55,"United-States",">50K"
,"?",172175,"Doctorate",16,"Never-married","?","Not-in-family","White","Male",0,2824,40,"United-States",">50K"
,"?",172175,"Doctorate",16,"Never-married","?","Not-in-family","White","Male",0,2824,40,"United-States",">50K"

